timestamp,frontend&cpu_usage,frontend&mem_usage_mb,frontend&mem_usage_pct,frontend&grpc_latency_p99,frontend&grpc_error_rate,frontend&grpc_rps,frontend&pod_restarts,cartservice&cpu_usage,cartservice&mem_usage_mb,cartservice&mem_usage_pct,cartservice&grpc_latency_p99,cartservice&grpc_error_rate,cartservice&grpc_rps,cartservice&pod_restarts,productcatalogservice&cpu_usage,productcatalogservice&mem_usage_mb,productcatalogservice&mem_usage_pct,productcatalogservice&grpc_latency_p99,productcatalogservice&grpc_error_rate,productcatalogservice&grpc_rps,productcatalogservice&pod_restarts,currencyservice&cpu_usage,currencyservice&mem_usage_mb,currencyservice&mem_usage_pct,currencyservice&grpc_latency_p99,currencyservice&grpc_error_rate,currencyservice&grpc_rps,currencyservice&pod_restarts,paymentservice&cpu_usage,paymentservice&mem_usage_mb,paymentservice&mem_usage_pct,paymentservice&grpc_latency_p99,paymentservice&grpc_error_rate,paymentservice&grpc_rps,paymentservice&pod_restarts,shippingservice&cpu_usage,shippingservice&mem_usage_mb,shippingservice&mem_usage_pct,shippingservice&grpc_latency_p99,shippingservice&grpc_error_rate,shippingservice&grpc_rps,shippingservice&pod_restarts,checkoutservice&cpu_usage,checkoutservice&mem_usage_mb,checkoutservice&mem_usage_pct,checkoutservice&grpc_latency_p99,checkoutservice&grpc_error_rate,checkoutservice&grpc_rps,checkoutservice&pod_restarts,emailservice&cpu_usage,emailservice&mem_usage_mb,emailservice&mem_usage_pct,emailservice&grpc_latency_p99,emailservice&grpc_error_rate,emailservice&grpc_rps,emailservice&pod_restarts,recommendationservice&cpu_usage,recommendationservice&mem_usage_mb,recommendationservice&mem_usage_pct,recommendationservice&grpc_latency_p99,recommendationservice&grpc_error_rate,recommendationservice&grpc_rps,recommendationservice&pod_restarts,adservice&cpu_usage,adservice&mem_usage_mb,adservice&mem_usage_pct,adservice&grpc_latency_p99,adservice&grpc_error_rate,adservice&grpc_rps,adservice&pod_restarts,reviewservice&cpu_usage,reviewservice&mem_usage_mb,reviewservice&mem_usage_pct,reviewservice&grpc_latency_p99,reviewservice&grpc_error_rate,reviewservice&grpc_rps,reviewservice&pod_restarts,system&total_rps,system&node_cpu_pct,system&node_mem_pct,fault_type,target_service
1780950000,4.800168,70.175781,6.091648,0.059,0.183908,2.455408,1.0,1.231407,95.957031,8.329603,0.00487,0.01005,5.616709,7.0,2.516544,59.261719,5.144246,0.003414,0.002451,24.270786,1.0,2.142851,118.117188,10.253228,0.003832,0.003125,18.064298,1.0,0.360502,99.390625,8.627658,0.000989,0.176471,0.337114,1.0,0.209453,60.558594,5.256822,0.004093,0.031746,1.778154,1.0,0.713345,61.636719,5.35041,0.046,0.125,0.451607,1.0,0.492673,83.734375,7.268609,0.465,0.857143,0.395134,2.0,1.298488,85.773438,5.819093,0.184,0.982955,3.427659,1.0,0.379597,135.03125,10.198735,0.00449,0.021277,2.653119,1.0,0.632465,60.992188,5.294461,0.0137,0.013889,4.206754,1.0,63.656742,17.808857,55.123997,normal,none
1780950010,4.032246,70.175781,6.091648,0.083875,0.212598,2.518292,1.0,1.102114,95.917969,8.326213,0.004845,0.012552,4.739243,7.0,1.765335,59.289062,5.14662,0.003619,0.002994,17.814551,1.0,2.051678,115.597656,10.034519,0.004043,0.003911,15.209201,1.0,0.371847,99.542969,8.640883,0.000989,0.181818,0.348863,1.0,0.262273,60.550781,5.256144,0.003947,0.042857,1.38809,1.0,0.717399,61.636719,5.35041,0.04575,0.222222,0.35693,1.0,0.508288,83.734375,7.268609,0.4625,0.8125,0.317271,2.0,0.945508,85.796875,5.820684,0.14875,0.976378,2.518392,1.0,0.441433,135.078125,10.202275,0.004444,0.026316,2.260559,1.0,0.560133,60.996094,5.2948,0.0127,0.019355,3.073506,1.0,50.5449,13.251304,55.028183,normal,none
1780950020,3.094866,70.175781,6.091648,0.088625,0.216867,2.212798,1.0,0.754861,95.917969,8.326213,0.004869,0.01875,3.21621,7.0,1.569288,59.433594,5.159166,0.003202,0.00361,16.703853,1.0,1.958366,115.597656,10.034519,0.004187,0.006557,9.67302,1.0,0.37194,99.542969,8.640883,0.000989,0.230769,0.261317,1.0,0.352171,60.550781,5.256144,0.00082,0.083333,0.761156,1.0,0.327379,61.675781,5.3538,0.047,0.4,0.201017,1.0,0.481679,83.734375,7.268609,0.485,0.714286,0.221997,2.0,1.010337,85.8125,5.821744,0.1495,0.960784,1.617456,1.0,0.585396,135.097656,10.20375,0.004456,0.036364,1.744315,1.0,0.528778,60.625,5.262587,0.004264,0.026316,2.41025,1.0,39.023389,7.26451,55.028183,normal,none
1780950030,2.437702,69.992188,6.075711,0.089917,0.216667,2.412206,1.0,0.834995,95.96875,8.330621,0.004689,0.027027,2.227842,7.0,1.184655,59.433594,5.159166,0.002737,0.004963,12.132342,1.0,1.228088,115.878906,10.058933,0.004227,0.007246,8.321943,1.0,0.276799,99.542969,8.640883,0.000985,0.666667,0.090318,1.0,0.352171,60.550781,5.256144,0.000785,0.090909,0.66333,1.0,0.355377,61.675781,5.3538,0.02455,0.75,0.12042,1.0,0.42583,83.734375,7.268609,0.48,0.625,0.16081,2.0,0.859404,85.8125,5.821744,0.18025,0.958333,1.447323,1.0,0.585396,135.097656,10.20375,0.004387,0.038462,1.567934,1.0,0.352486,60.625,5.262587,0.004127,0.027027,2.231245,1.0,31.375713,11.819808,55.097752,normal,none
1780950040,2.546673,69.445312,6.028239,0.092187,0.226891,2.468163,1.0,0.804045,96.027344,8.335707,0.004633,0.027273,2.2814,7.0,1.260908,60.144531,5.220879,0.002316,0.004695,13.252862,1.0,1.228088,115.878906,10.058933,0.00412,0.008475,7.341809,1.0,0.352257,100.046875,8.684625,0.00099,0.75,0.08296,1.0,0.395452,60.558594,5.256822,0.000865,0.115385,0.539251,1.0,0.38694,61.816406,5.366007,0.0244,0.75,0.082958,1.0,0.447797,83.738281,7.268948,0.24625,0.4,0.103702,2.0,0.897767,85.824219,5.822539,0.1765,0.955556,1.35481,1.0,0.595694,135.113281,10.204931,0.004416,0.042857,1.4518,1.0,0.485275,60.636719,5.263604,0.00228,0.030303,1.987114,1.0,30.94683,8.990791,55.121843,normal,none
1780950050,2.518709,69.445312,6.028239,0.0922,0.202532,2.378443,1.0,0.805602,96.023438,8.335368,0.004606,0.028571,2.107418,7.0,1.238806,60.144531,5.220879,0.000907,0.005013,12.012645,1.0,1.152619,115.261719,10.005358,0.00412,0.008475,7.341809,1.0,0.352257,100.046875,8.684625,0.000985,0.5,0.116595,1.0,0.395452,60.558594,5.256822,0.00092,0.105263,0.572013,1.0,0.37705,62.074219,5.388387,0.02455,0.5,0.060212,1.0,0.448835,82.996094,7.204522,0.24625,0.4,0.103702,2.0,0.713598,85.824219,5.822539,0.19,0.963415,1.700716,1.0,0.610376,135.382812,10.225288,0.004416,0.042857,1.4518,1.0,0.402684,60.636719,5.263604,0.00282,0.026549,2.343718,1.0,30.189072,8.990791,55.121843,normal,none
1780950060,1.899418,69.695312,6.04994,0.091643,0.20354,2.195923,1.0,0.657268,96.023438,8.335368,0.004511,0.028302,2.059892,7.0,1.176029,60.144531,5.220879,0.00083,0.004545,13.235869,1.0,0.970483,115.261719,10.005358,0.003103,0.009317,6.257287,1.0,0.343344,100.332031,8.709378,0.00098,0.5,0.120326,1.0,0.392847,60.558594,5.256822,0.00087,0.115385,0.505237,1.0,0.349207,62.074219,5.388387,0.02455,0.4,0.097165,1.0,0.448835,82.996094,7.204522,0.2455,0.4,0.097163,2.0,0.846663,85.882812,5.826514,0.585,0.962963,1.574038,1.0,0.610376,135.382812,10.225288,0.004416,0.040541,1.43801,1.0,0.469458,60.730469,5.271742,0.003387,0.02521,2.312521,1.0,29.893431,14.75515,55.131359,normal,none
1780950070,2.478499,69.695312,6.04994,0.090786,0.222222,2.425172,1.0,0.864245,96.664062,8.390978,0.004395,0.025641,2.425222,7.0,1.231263,60.144531,5.220879,0.000775,0.004559,13.639284,1.0,1.178018,115.382812,10.015869,0.000976,0.00939,6.407364,1.0,0.246094,100.332031,8.709378,0.000988,0.6,0.10364,1.0,0.416257,60.558594,5.256822,0.00086,0.107143,0.580395,1.0,0.386979,62.074219,5.388387,0.02425,0.5,0.082912,1.0,0.525947,83.0,7.204861,0.244,0.5,0.120322,2.0,0.955551,85.917969,5.828899,0.715,0.966667,1.804837,1.0,0.643395,135.136719,10.206701,0.00451,0.039216,1.534111,1.0,0.506914,60.734375,5.272081,0.00336,0.02381,2.526848,1.0,31.650108,12.043137,55.131359,normal,none
1780950080,3.215236,70.527344,6.122165,0.090786,0.222222,2.425172,1.0,0.864245,96.664062,8.390978,0.004352,0.024691,2.436603,7.0,1.376686,60.289062,5.233426,0.000632,0.004739,12.69402,1.0,1.178018,115.382812,10.015869,0.002595,0.006316,9.846192,1.0,0.279055,100.332031,8.709378,0.00098,0.5,0.120322,1.0,0.420252,60.5625,5.257161,0.00086,0.107143,0.580395,1.0,0.432154,62.074219,5.388387,0.0244,0.5,0.120322,1.0,0.540306,83.0,7.204861,0.2455,0.5,0.124368,2.0,1.087804,83.148438,5.641007,0.525,0.971698,2.197164,1.0,0.562313,135.265625,10.216437,0.00416,0.031915,1.948469,1.0,0.490726,60.734375,5.272081,0.004704,0.020408,3.047074,1.0,35.540103,9.254192,55.467733,normal,none
1780950090,3.387739,70.527344,6.122165,0.0974,0.241935,2.410388,1.0,1.045306,96.691406,8.393351,0.004685,0.017143,3.401823,7.0,1.376686,60.289062,5.233426,0.000709,0.003593,16.231242,1.0,1.891918,115.933594,10.06368,0.002708,0.004005,14.559804,1.0,0.416609,100.371094,8.712769,0.00472,0.428571,0.136073,1.0,0.426737,56.574219,4.910956,0.000895,0.06383,0.913615,1.0,0.455156,62.082031,5.389065,0.02465,0.428571,0.136073,1.0,0.533051,83.246094,7.226223,0.244,0.5,0.120322,2.0,1.087804,83.148438,5.641007,0.68,0.971014,2.075563,1.0,0.667167,135.265625,10.216437,0.00268,0.029851,2.015462,1.0,0.585476,61.058594,5.300225,0.0052,0.02,3.008152,1.0,45.008517,12.308988,55.467733,normal,none
